"title","authors","year"
"Transdichotomous Results in Computational Geometry, II: Offline Search","Timothy M. Chan, 
      
      Mihai Patrascu",2010
"Sector decomposition via computational geometry","Toshiaki Kaneko, 
      
      Takahiro Ueda",2010
"Simulating Parallel Algorithms in the MapReduce Framework with Applications to Parallel Computational Geometry","Michael T. Goodrich",2010
"Automated Proofs in Geometry : Computing Upper Bounds for the Heilbronn Problem for Triangles","Francesco De Comite, 
      
      Jean-Paul Delahaye",2010
"Quantum Computing in Non Euclidean Geometry","Germano Resconi, 
      
      Ignazio Licata",2009
"Graph-Theoretic Solutions to Computational Geometry Problems","David Eppstein",2009
"Applications of computational geometry to the molecular simulation of interfaces","Florencio Balboa Usabiaga, 
      
      Daniel Duque",2009
"Computational birational geometry of minimal rational surfaces","Gavin Brown, 
      
      Alexander Kasprzyk, 
      
      Daniel Ryder",2009
"Computer Simulations of Pulsatile Human Blood Flow Through 3D-Models of the Human Aortic Arch, Vessels of Simple Geometry and a Bifurcated Artery: Investigation of Blood Viscosity and Turbulent Effects","Renat A. Sultanov, 
      
      Dennis Guster",2008
"Report on ""Geometry and representation theory of tensors for computer science, statistics and other areas.""","Luke Oeding",2008
"On the noncommutative spin geometry of the standard Podles sphere and index computations","Elmar Wagner",2008
"Physics of computation and light sheet concept in the measurement of (4+n)-dimensional spacetime geometry","Pavle Midodashvili",2008
"Symbolic computations in differential geometry","Diego Conti",2008
"Optimization approach for the computation of magnetohydrostatic coronal equilibria in spherical geometry","T. Wiegelmann, 
      
      T. Neukirch, 
      
      P. Ruan, 
      
      B. Inhester",2008
"Computation and visualization of Casimir forces in arbitrary geometries: non-monotonic lateral forces and failure of proximity-force approximations","Alejandro Rodriguez, 
      
      Mihai Ibanescu, 
      
      Davide Iannuzzi, 
      
      Federico Capasso, 
      
      John D. Joannopoulos, 
      
      Steven G. Johnson",2007
"Symmetries in Differential Geometry: A Computational Approach to Prolongations","Thomas Branson, 
      
      Alfredo Villanueva",2007
"Line problems in nonlinear computational geometry","Frank Sottile, 
      
      Thorsten Theobald",2007
"Random walks and Brownian motion: A method of computation for first-passage times and related quantities in confined geometries","Sylvain Condamin, 
      
      Olivier Bénichou, 
      
      Michel Moreau",2007
"The geometry of quantum computation","Mark R. Dowling, 
      
      Michael A. Nielsen",2006
"Computing nonlinear force-free fields in spherical geometry","Thomas Wiegelmann",2006
"Quantum Computation as Geometry","Michael A. Nielsen, 
      
      Mark R. Dowling, 
      
      Mile Gu, 
      
      Andrew C. Doherty",2006
"Optimal control, geometry, and quantum computing","Michael A. Nielsen, 
      
      Mark R. Dowling, 
      
      Mile Gu, 
      
      Andrew C. Doherty",2006
"Computation of protein geometry and its applications: Packing and function prediction","Jie Liang",2006
"On the frontiers of polynomial computations in tropical geometry","Thorsten Theobald",2005
"Formalized proof, computation, and the construction problem in algebraic geometry","Carlos T. Simpson",2004
"Computational Geometry Column 45","Joseph O'Rourke",2004
"Computational Geometry Column 44","Joseph O'Rourke",2003
"Solving the Selesnick-Burrus Filter Design Equations Using Computational Algebra and Algebraic Geometry","John B. Little",2002
"Computational geometry in Heisenberg group Heis^3","Andrey Marenich",2002
"Computational Geometry Column 43","Joseph O'Rourke",2002
"GRworkbench: A Computational System Based on Differential Geometry","Susan M Scott, 
      
      Benjamin J K Evans, 
      
      Antony C Searle",2001
"Computational Geometry Column 42","Joseph S. B. Mitchell, 
      
      Joseph O'Rourke",2001
"From Geometry to Quantum Computation","Kazuyuki Fujii",2001
"Computational Geometry Column 41","Joseph O'Rourke",2001
"Computational Arithmetic Geometry I: Sentences Nearly in the Polynomial Hierarchy","J. Maurice Rojas",2001
"Computer Algebra of Vector Bundles, Foliations and Zeta Functions and a Context of Noncommutative Geometry","Nikolaj M. Glazunov",2001
"Computational Geometry Column 40","Joseph O'Rourke",2000
"Computational Geometry Column 39","Joseph O'Rourke",2000
"Computer Algebra and Algebraic Geometry - Achievements and Perspectives","Gert-Martin Greuel",2000
"Computational Geometry Column 38","Joseph O'Rourke",2000
